,Canción,Artista,Lanzamiento,Género,Emoción inicial,Conocimiento,Familia,Emoción primaria,Emoción secundaria,Emoción Terciaria,Agrado,Escuela,Academia,Sexo,Edad,Español,Inglés,Francés,Catalán
53,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Confianza,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,,,50,N/R,N/R,Femenino,N/R,N/R,N/R,N/R,N/R
54,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Tedio,TRUE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Agradable,Fascinante,Sereno,92,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Avanzado,Avanzado,Nulo,Nulo
55,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Confianza,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,Alegría,Resiliente,65,Escuela privada,Ciencias naturales y aplicadas,Masculino,18-20,Avanzado,Avanzado,Nulo,Nulo
56,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Serenidad,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Animado,Alegría,80,Escuela privada,Ciencias naturales y aplicadas,Masculino,18-20,Avanzado,Avanzado,Nulo,Nulo
57,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Serenidad,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,,,92,Escuela privada,No aplica,Masculino,21-23,Avanzado,Intermedio,Nulo,Nulo
58,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Aprobación,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Triunfante,Animado,Alegría,80,Escuela privada,Ciencias naturales y aplicadas,Masculino,18-20,Avanzado,Avanzado,Nulo,Nulo
59,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Aversión,TRUE,Malestar (Problemas; miseria; estado o condición incómoda),Tenso,,,70,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Avanzado,Intermedio,Nulo,Nulo
60,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Melancolía,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,Alegría,Triunfante,91,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Avanzado,Intermedio,Nulo,Nulo
61,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Serenidad,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Resiliente,Animado,,63,Escuela privada,No aplica,Masculino,18-20,Avanzado,Avanzado,Básico,Nulo
62,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Ira,TRUE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Nostálgico,Sentimental,Trascendente,81,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Avanzado,Básico,Nulo,Nulo
63,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Trascendente,Asombroso,Cautivador,80,Escuela privada,Ciencias naturales y aplicadas,Masculino,18-20,Intermedio,Básico,Nulo,Nulo
64,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Aprobación,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,,,60,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Avanzado,Avanzado,Nulo,Nulo
65,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Distracción,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Animado,Alegría,Resiliente,82,Escuela privada,No aplica,Masculino,18-20,Avanzado,Intermedio,Nulo,Nulo
